row,svkMatvecs,svkSubspaceSize,svkMedian,svkTop,svkBot,b=2Matvecs,b=2SubspaceSize,b=2Median,b=2Top,b=2Bot,b=3Matvecs,b=3SubspaceSize,b=3Median,b=3Top,b=3Bot,b=50Matvecs,b=50SubspaceSize,b=50Median,b=50Top,b=50Bot,b=54Matvecs,b=54SubspaceSize,b=54Median,b=54Top,b=54Bot
1,148.0,50.0,0.05059101386347574,0.050201493378017034,0.05084155935442876,152.0,52.0,0.04713231134739768,0.04695793248774476,0.04767696094244388,147.0,51.0,0.05371577931128566,0.05315578087583798,0.05407758865170864,200.0,100.0,0.04924392515443368,0.04881163387570229,0.051132826887775276,216.0,108.0,0.043255100467248606,0.04177281558271677,0.044434333918399876
2,169.0,57.0,0.0307913330047992,0.030597807754128944,0.031063258597903612,170.0,58.0,0.031158087312744193,0.030786142913210787,0.0316974332073612,165.0,57.0,0.036311621746826124,0.03604117644247499,0.0370862833201548,350.0,150.0,0.006351628646258989,0.005895508958509998,0.006527159386408205,378.0,162.0,0.004532116967610551,0.004318066615281741,0.004640171686603261
3,190.0,64.0,0.016738483600275432,0.016569832898783766,0.017141590965958464,188.0,64.0,0.01922271753591971,0.01892479556409221,0.019549394513275115,183.0,63.0,0.0228143512226186,0.022568832226726225,0.023425111082285406,500.0,200.0,0.0004369354057521194,0.000391415149886783,0.0004634127302581553,540.0,216.0,0.00022132506773197774,0.0002151741658672823,0.00024286492286018183
4,214.0,72.0,0.007449210716929689,0.007378413849963991,0.007527389162325285,212.0,72.0,0.008814046376504892,0.008531716269192875,0.009168156791552053,210.0,72.0,0.010314630944256695,0.010184036006149304,0.01055967763888326,650.0,250.0,1.1065931655425428e-5,9.449798789586514e-6,1.2029571980121706e-5,702.0,270.0,4.825814057040285e-6,4.3341287606190945e-6,5.103276958909242e-6
5,244.0,82.0,0.002012369378169126,0.0018276420703842063,0.0021721129493938235,242.0,82.0,0.0028407966748480304,0.0026991593486029217,0.00300975225791219,237.0,81.0,0.003970375727328635,0.003790268236250163,0.00433456920494941,800.0,300.0,1.2414884725955923e-7,1.1054186947473075e-7,1.3266472571339014e-7,864.0,324.0,4.085200232934067e-8,3.776506790364359e-8,5.114426853691323e-8
6,274.0,92.0,0.00031571474308808676,0.0002799652562173026,0.0003689737274478591,272.0,92.0,0.0005223403179033298,0.00047181404358254337,0.0006352887273935668,264.0,90.0,0.001112978893555128,0.0010272826094109692,0.0012935808877080272,950.0,350.0,7.037840368161191e-10,6.554339830734712e-10,8.220868581379595e-10,1026.0,378.0,2.289888951593526e-10,2.1115610384049267e-10,2.5758221507040863e-10
7,310.0,104.0,3.81181578784629e-7,2.704672118808359e-7,6.553710283002553e-7,308.0,104.0,3.250045046068044e-5,1.6945940177636222e-5,5.5894400215871386e-5,300.0,102.0,8.25775000975635e-5,7.39498874001485e-5,0.0001563413081852197,1100.0,400.0,3.165142899245245e-12,2.7447492695369014e-12,3.5092122938968896e-12,1188.0,432.0,5.886217521796967e-13,5.187863620225988e-13,7.871097355194885e-13
8,349.0,117.0,1.0e-15,1.0e-15,3.919005335402914e-15,350.0,118.0,5.946651153908444e-10,1.6935615354805794e-10,1.7739968071341165e-9,336.0,114.0,5.2612328110946714e-6,1.5476294135055665e-6,8.127455267569727e-6,1250.0,450.0,6.231860943181683e-15,5.846385008551888e-15,6.64945987236396e-15,1350.0,486.0,1.0e-15,1.0e-15,1.0279358256794529e-15
9,394.0,132.0,1.0e-15,1.0e-15,1.0e-15,392.0,132.0,1.0e-15,1.0e-15,2.312855607778769e-15,381.0,129.0,1.3053076042818858e-10,6.012839941723944e-11,1.4655711514838961e-10,1550.0,550.0,1.0e-15,1.0e-15,1.0e-15,1512.0,540.0,1.0e-15,1.0e-15,1.0e-15
10,445.0,149.0,1.0e-15,1.0e-15,1.0e-15,446.0,150.0,1.0e-15,1.0e-15,1.0e-15,435.0,147.0,1.0e-15,1.0e-15,1.0e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,502.0,168.0,1.0e-15,1.0e-15,1.0e-15,500.0,168.0,1.0e-15,1.0e-15,1.0e-15,489.0,165.0,1.0e-15,1.0e-15,1.0e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,568.0,190.0,1.0e-15,1.0e-15,1.0e-15,566.0,190.0,1.0e-15,1.0e-15,1.0e-15,552.0,186.0,1.0e-15,1.0e-15,1.0e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,643.0,215.0,1.0e-15,1.0e-15,1.0e-15,644.0,216.0,1.0e-15,1.0e-15,1.0e-15,633.0,213.0,1.0e-15,1.0e-15,1.0e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,724.0,242.0,1.0e-15,1.0e-15,1.0e-15,722.0,242.0,1.0e-15,1.0e-15,1.0e-15,714.0,240.0,1.0e-15,1.0e-15,1.0e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,817.0,273.0,1.0e-15,1.0e-15,1.0e-15,818.0,274.0,1.0e-15,1.0e-15,1.0e-15,804.0,270.0,1.0e-15,1.0e-15,1.0e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,922.0,308.0,1.0e-15,1.0e-15,1.0e-15,920.0,308.0,1.0e-15,1.0e-15,1.0e-15,912.0,306.0,1.0e-15,1.0e-15,1.0e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1042.0,348.0,1.0e-15,1.0e-15,1.0e-15,1040.0,348.0,1.0e-15,1.0e-15,1.0e-15,1029.0,345.0,1.0e-15,1.0e-15,1.0e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1177.0,393.0,1.0e-15,1.0e-15,1.0e-15,1178.0,394.0,1.0e-15,1.0e-15,1.0e-15,1164.0,390.0,1.0e-15,1.0e-15,1.0e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1327.0,443.0,1.0e-15,1.0e-15,1.0e-15,1328.0,444.0,1.0e-15,1.0e-15,1.0e-15,1317.0,441.0,1.0e-15,1.0e-15,1.0e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1498.0,500.0,1.0e-15,1.0e-15,1.0e-15,1496.0,500.0,1.0e-15,1.0e-15,1.0e-15,1488.0,498.0,1.0e-15,1.0e-15,1.0e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
