row,svkMatvecs,svkSubspaceSize,svkMedian,svkTop,svkBot,b=2Matvecs,b=2SubspaceSize,b=2Median,b=2Top,b=2Bot,b=3Matvecs,b=3SubspaceSize,b=3Median,b=3Top,b=3Bot,b=50Matvecs,b=50SubspaceSize,b=50Median,b=50Top,b=50Bot,b=54Matvecs,b=54SubspaceSize,b=54Median,b=54Top,b=54Bot
1,148.0,50.0,0.010028995241045342,0.01002180986079889,0.010045603327784971,152.0,52.0,0.009747128447339607,0.00973190301742951,0.009758556812537008,147.0,51.0,0.010200025352135832,0.01017726970237561,0.010233461482531146,200.0,100.0,0.009942289005962439,0.009884915883883206,0.009971407390074918,216.0,108.0,0.009733483779727659,0.009668113059520537,0.009769881529567325
2,169.0,57.0,0.008270545625607195,0.00826309517162882,0.0082773790517699,170.0,58.0,0.008259643732473582,0.008254715595005332,0.008269911677533763,165.0,57.0,0.008706033716862809,0.008685802328387846,0.008733213930379685,350.0,150.0,0.004129656781599592,0.0040996958052621916,0.0041438928336517975,378.0,162.0,0.003964193594031896,0.003946986857693146,0.003975783386343733
3,190.0,64.0,0.006750293273671408,0.006745566480339648,0.00676325283449036,188.0,64.0,0.006964198256896831,0.00696084627189851,0.006979845500613009,183.0,63.0,0.007377667039772634,0.007363649326931871,0.007388134937113951,500.0,200.0,0.0018699727150830448,0.0018573453481604682,0.0019030331777250677,540.0,216.0,0.0017599360583543627,0.0017208581030761529,0.0017842430859500774
4,214.0,72.0,0.005325242413816269,0.005319819336145037,0.005351396545054397,212.0,72.0,0.0055057478580664,0.0054927015922848705,0.005522507767162463,210.0,72.0,0.005701689555020281,0.005687511136361799,0.005725889724610501,650.0,250.0,0.0009036634259625972,0.0008904196621708509,0.0009125845340021976,702.0,270.0,0.0007910896236765753,0.0007841163345304179,0.0008172883172724572
5,244.0,82.0,0.003938205612106159,0.003922386852395855,0.003943979306956477,242.0,82.0,0.004089302670122193,0.004086621262155034,0.004102517425158812,237.0,81.0,0.0043923515096557465,0.004386799305280514,0.0043953327604631855,800.0,300.0,0.00043042194288714266,0.00041602925627041184,0.00044215711594599265,864.0,324.0,0.00036730213802908405,0.00036495856334606345,0.00037175591197470266
6,274.0,92.0,0.002944228603439801,0.0029414192998860455,0.0029540584688477096,272.0,92.0,0.0030682847210005727,0.0030632567438267045,0.0030705015016613832,264.0,90.0,0.0033831361986279515,0.003369558142771745,0.0033957673714344046,950.0,350.0,0.00021392791414113227,0.0002033473333910993,0.00021571591055921703,1026.0,378.0,0.00016346581200298482,0.00016246386246498033,0.00017364936049163093
7,310.0,104.0,0.002086521315428267,0.00208349322975685,0.002089408757468927,308.0,104.0,0.00217424518921816,0.0021676141111606796,0.0021769292637726268,300.0,102.0,0.0023890347299943544,0.0023835569037471173,0.0023990354628446128,1100.0,400.0,8.895452981056863e-5,8.521382708942356e-5,9.323134526843876e-5,1188.0,432.0,6.748986341659395e-5,6.563115791015272e-5,7.31989474998921e-5
8,349.0,117.0,0.001420152429954373,0.0014129783202113725,0.0014276325974188115,350.0,118.0,0.0014581712428339863,0.0014470190392076704,0.0014669063754269187,336.0,114.0,0.0017180355910009206,0.0017123381800748768,0.001724865215142259,1250.0,450.0,3.8583690488191966e-5,3.5427952963529375e-5,4.214140542174425e-5,1350.0,486.0,2.5596902684127354e-5,2.430217193128313e-5,2.7992179515873025e-5
9,394.0,132.0,0.0009064956040666618,0.000901546575816181,0.0009123804790524469,392.0,132.0,0.0009706809072076444,0.0009581592130473859,0.0009725224346061336,381.0,129.0,0.001121243710513172,0.0011167894268786826,0.001130628339464268,1550.0,550.0,4.583921614415065e-6,4.583921614415065e-6,5.010257049278469e-6,1512.0,540.0,8.688605553762892e-6,8.688605553762892e-6,9.867898842011433e-6
10,445.0,149.0,0.000530753397872936,0.0005263897468181977,0.0005364581859374829,446.0,150.0,0.0005599927735862668,0.0005513523403773712,0.00056511494844638,435.0,147.0,0.0006765383930836472,0.0006667595552778036,0.000680939105800692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,502.0,168.0,0.0002771607041300263,0.00027520260565945623,0.00027947346002500867,500.0,168.0,0.00031035796076328684,0.00030903586790601413,0.00032475282056507583,489.0,165.0,0.00038705231538548214,0.0003814822891467063,0.0003889488928660394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,568.0,190.0,0.00012639566171928008,0.00012305875314842308,0.00013084862362320595,566.0,190.0,0.00014900086669891163,0.00014360481239215602,0.00015266607621499938,552.0,186.0,0.00019314089709163986,0.00019060986140664735,0.00019692928602712292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,643.0,215.0,3.7699091318420856e-5,3.497471270303889e-5,4.1431671268798485e-5,644.0,216.0,4.970122183605182e-5,4.5395550277845346e-5,5.4737793910617566e-5,633.0,213.0,7.314296454585307e-5,7.128082452156525e-5,7.52933015914153e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,724.0,242.0,8.462579585079194e-6,7.334281320098331e-6,9.19318874115669e-6,722.0,242.0,1.202644460469935e-5,1.0215326900898396e-5,1.3520075523333524e-5,714.0,240.0,1.907765789317812e-5,1.618745675101027e-5,2.2051422767099346e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,817.0,273.0,2.2570748243962402e-7,5.1484041995988975e-8,3.5356921568342125e-7,818.0,274.0,1.7432965234758831e-6,1.3557449921432614e-6,2.651338873428006e-6,804.0,270.0,3.1821725718676e-6,2.1352533582848234e-6,3.816080800039245e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,922.0,308.0,1.5182926584557663e-12,8.569294565908525e-13,2.1595634368899326e-12,920.0,308.0,1.2577162713182676e-8,7.270726151060621e-9,1.8524011487121883e-8,912.0,306.0,1.5592511985610522e-7,1.150375900464317e-7,2.822334422588324e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1042.0,348.0,1.0e-15,1.0e-15,1.0e-15,1040.0,348.0,3.810118813534272e-14,4.167317452303109e-15,6.107104504506105e-14,1029.0,345.0,4.1231141207554656e-11,2.391474653110601e-11,4.918863388272745e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
