row,svkMatvecs,svkSubspaceSize,svkMedian,svkTop,svkBot,b=2Matvecs,b=2SubspaceSize,b=2Median,b=2Top,b=2Bot,b=3Matvecs,b=3SubspaceSize,b=3Median,b=3Top,b=3Bot,b=50Matvecs,b=50SubspaceSize,b=50Median,b=50Top,b=50Bot,b=54Matvecs,b=54SubspaceSize,b=54Median,b=54Top,b=54Bot
1,148.0,50.0,0.013902444922772293,0.013878416899567966,0.01399184736726582,152.0,52.0,0.013076689523945776,0.012987809917198345,0.013154397997768385,147.0,51.0,0.015440812397097083,0.015215057339521283,0.01568996893377593,200.0,100.0,0.01963264280551564,0.019526742556285406,0.019869219935242755,216.0,108.0,0.01787691332873121,0.017470098522949087,0.01811342150799713
2,169.0,57.0,0.007733049785440425,0.007695975815232032,0.007800045789754651,170.0,58.0,0.007861176879282904,0.0077463690995302785,0.008038427400634322,165.0,57.0,0.009517908017400392,0.00935017161887657,0.009721003296847745,350.0,150.0,0.002381502821331396,0.0023170470230359347,0.002419095514874153,378.0,162.0,0.0016831587557559406,0.0016103415742744702,0.0018039932186330572
3,190.0,64.0,0.003357730036348758,0.0033021656571849837,0.0034581781863447193,188.0,64.0,0.004199834419496529,0.004047768688205309,0.00424741535014129,183.0,63.0,0.005258060852359319,0.005191114873197656,0.005487941138524331,500.0,200.0,0.00015505067975663537,0.00014941056582858418,0.00016342487960172472,540.0,216.0,9.945320870647608e-5,8.813296815299274e-5,0.00010442754606537699
4,214.0,72.0,0.001158669739409748,0.0011169009996718781,0.0011668900110391525,212.0,72.0,0.0014679035572782537,0.0014604424696678551,0.0015045375447827333,210.0,72.0,0.0017948781074820191,0.0017479208944697275,0.001942551608857112,650.0,250.0,5.077087569182063e-6,4.585422398671268e-6,5.536087915411256e-6,702.0,270.0,2.525452661974543e-6,2.1839080862357846e-6,2.6769174355867825e-6
5,244.0,82.0,0.00015603858802644917,0.00014578673306122526,0.00017080829805782242,242.0,82.0,0.0002972986777579164,0.00025047153696148563,0.000349190660049975,237.0,81.0,0.0005858636484075737,0.0005202583923325502,0.0006294071624131587,800.0,300.0,7.961466558538868e-8,7.16854302976528e-8,8.590088063098118e-8,864.0,324.0,3.4326712665015216e-8,2.8631737393550102e-8,4.042289757660889e-8
6,274.0,92.0,3.176323434970593e-7,1.3477535401587957e-7,1.2297440510394087e-6,272.0,92.0,1.8657208002679175e-5,1.0452435744828628e-5,2.9777148215807923e-5,264.0,90.0,5.8004630296246465e-5,5.1070417968151996e-5,7.296317486521836e-5,950.0,350.0,6.511481007676273e-10,5.615694446002262e-10,7.553872486258757e-10,1026.0,378.0,2.448901090032716e-10,2.0740250275569958e-10,2.715817890090951e-10
7,310.0,104.0,2.3349886678706462e-15,1.0e-15,1.1834147112162594e-14,308.0,104.0,2.6026521336233576e-9,1.4168814719091408e-9,6.585174417528605e-9,300.0,102.0,7.3337760829498e-7,3.295559221611032e-7,1.1554188325768835e-6,1100.0,400.0,4.182707655096104e-12,3.875497441498305e-12,4.7950584332451815e-12,1188.0,432.0,1.4077858950289206e-12,1.1093318889356361e-12,1.4705121815158093e-12
8,349.0,117.0,1.0e-15,1.0e-15,1.0e-15,350.0,118.0,6.686558457993214e-15,2.441124516410221e-15,1.7406279160490273e-14,336.0,114.0,1.220612672733167e-9,1.969626622858014e-10,5.991186786282527e-9,1250.0,450.0,2.99303092881601e-14,2.096183008656603e-14,3.311438474434735e-14,1350.0,486.0,7.854052791928538e-15,6.049743366755766e-15,1.2470962203400042e-14
9,394.0,132.0,1.0e-15,1.0e-15,1.0e-15,392.0,132.0,1.0e-15,1.0e-15,1.0e-15,381.0,129.0,1.1462671642274082e-14,4.192366017313206e-15,2.2235460269040928e-14,1550.0,550.0,1.0e-15,1.0e-15,1.0e-15,1512.0,540.0,1.0e-15,1.0e-15,1.0e-15
10,445.0,149.0,1.0e-15,1.0e-15,1.0e-15,446.0,150.0,1.0e-15,1.0e-15,1.0e-15,435.0,147.0,1.0e-15,1.0e-15,1.0e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,502.0,168.0,1.0e-15,1.0e-15,1.0e-15,500.0,168.0,1.0e-15,1.0e-15,1.0e-15,489.0,165.0,1.0e-15,1.0e-15,1.0e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,568.0,190.0,1.0e-15,1.0e-15,1.0e-15,566.0,190.0,1.0e-15,1.0e-15,1.0e-15,552.0,186.0,1.0e-15,1.0e-15,1.0e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,643.0,215.0,1.0e-15,1.0e-15,1.0e-15,644.0,216.0,1.0e-15,1.0e-15,1.0e-15,633.0,213.0,1.0e-15,1.0e-15,1.0e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,724.0,242.0,1.0e-15,1.0e-15,1.0e-15,722.0,242.0,1.0e-15,1.0e-15,1.0e-15,714.0,240.0,1.0e-15,1.0e-15,1.0e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,817.0,273.0,1.0e-15,1.0e-15,1.0e-15,818.0,274.0,1.0e-15,1.0e-15,1.0e-15,804.0,270.0,1.0e-15,1.0e-15,1.0e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,922.0,308.0,1.0e-15,1.0e-15,1.0e-15,920.0,308.0,1.0e-15,1.0e-15,1.0e-15,912.0,306.0,1.0e-15,1.0e-15,1.0e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1042.0,348.0,1.0e-15,1.0e-15,1.0e-15,1040.0,348.0,1.0e-15,1.0e-15,1.0e-15,1029.0,345.0,1.0e-15,1.0e-15,1.0e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1177.0,393.0,1.0e-15,1.0e-15,1.0e-15,1178.0,394.0,1.0e-15,1.0e-15,1.0e-15,1164.0,390.0,1.0e-15,1.0e-15,1.0e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1327.0,443.0,1.0e-15,1.0e-15,1.0e-15,1328.0,444.0,1.0e-15,1.0e-15,1.0e-15,1317.0,441.0,1.0e-15,1.0e-15,1.0e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1498.0,500.0,1.0e-15,1.0e-15,1.0e-15,1496.0,500.0,1.0e-15,1.0e-15,1.0e-15,1488.0,498.0,1.0e-15,1.0e-15,1.0e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
