row,svkMatvecs,svkSubspaceSize,svkMedian,svkTop,svkBot,b=2Matvecs,b=2SubspaceSize,b=2Median,b=2Top,b=2Bot,b=3Matvecs,b=3SubspaceSize,b=3Median,b=3Top,b=3Bot,b=50Matvecs,b=50SubspaceSize,b=50Median,b=50Top,b=50Bot,b=54Matvecs,b=54SubspaceSize,b=54Median,b=54Top,b=54Bot
1,148.0,50.0,0.006806284397309868,0.006800677328609987,0.006812241271657473,152.0,52.0,0.006569145720544227,0.0065634671637888,0.006576684927984905,147.0,51.0,0.006862278258368907,0.006845527142299778,0.006880673089349489,200.0,100.0,0.0034477099367030014,0.003440037612088391,0.0034495362474724735,216.0,108.0,0.003385799574526149,0.003382785960780083,0.003388980575753818
2,169.0,57.0,0.00564131821095476,0.005638206019595068,0.0056544200502589275,170.0,58.0,0.005513720484383098,0.0054968106554683475,0.0055248888492948536,165.0,57.0,0.00579186868933035,0.0057819151557092375,0.005797783649253566,350.0,150.0,0.0015633367409880875,0.001560812493183932,0.0015661810113012816,378.0,162.0,0.001529581776999969,0.0015232900610769851,0.0015366148740320962
3,190.0,64.0,0.004785153885832108,0.004783316326218531,0.004787546911917434,188.0,64.0,0.004848732092638282,0.004845461367077956,0.004856261175367237,183.0,63.0,0.004931546837249769,0.0049269885698903955,0.0049384538532549725,500.0,200.0,0.0009544267737909855,0.0009487925408054831,0.0009566402373313833,540.0,216.0,0.0009284216742375484,0.000923419410055418,0.0009312296127573646
4,214.0,72.0,0.0040004940655032,0.003998176936542366,0.004002968164882142,212.0,72.0,0.004014092104160151,0.004009354795221782,0.004018717395927757,210.0,72.0,0.004105742361525009,0.004103312335025288,0.0041145710640703775,650.0,250.0,0.0006444127680496465,0.0006395869925061101,0.0006485511302596413,702.0,270.0,0.0006227072425038802,0.0006210552823741687,0.0006249883161007632
5,244.0,82.0,0.0031956218546433618,0.003192410220122629,0.0031967935517821207,242.0,82.0,0.0032101230426281714,0.003206400366616217,0.003214639779532786,237.0,81.0,0.0033011556763836657,0.0032961839668919192,0.003305430969078345,800.0,300.0,0.0004542583272619344,0.00045099765146993764,0.0004546502096634927,864.0,324.0,0.0004323250728613679,0.0004298738226235598,0.0004355325756556413
6,274.0,92.0,0.0025623782063077635,0.002560881176323312,0.0025648077974548718,272.0,92.0,0.0026001757498187927,0.002596457973941385,0.0026033284861952726,264.0,90.0,0.002750451454461468,0.0027487987860310174,0.002753560983825544,950.0,350.0,0.00033423385582812275,0.0003321350009192098,0.0003357095999559367,1026.0,378.0,0.0003177572846438882,0.0003153497054567008,0.0003197758414988232
7,310.0,104.0,0.0020112383659418925,0.0020107875136206213,0.0020140136899000774,308.0,104.0,0.0020376661283756066,0.002036194065048313,0.002042305643233298,300.0,102.0,0.0021253864135889703,0.0021235200435132167,0.00213172312787712,1100.0,400.0,0.0002544046692704812,0.0002536350251373738,0.00025702651918173893,1188.0,432.0,0.00024004046332165178,0.0002389125046942121,0.00024126181051227624
8,349.0,117.0,0.001566471327410056,0.001564538038174641,0.0015677583882892795,350.0,118.0,0.0015640499712365771,0.0015627461988213876,0.0015651697643822777,336.0,114.0,0.0017109179059506194,0.001706237943478763,0.0017134299463915617,1250.0,450.0,0.00018965767496033,0.00018661353779218803,0.0001912805855866223,1350.0,486.0,0.00017856889242252974,0.00017387697516678565,0.00017965795199964278
9,394.0,132.0,0.001199213807964026,0.0011985805721532322,0.0012003751073883962,392.0,132.0,0.0012193653643613645,0.0012173709254353628,0.0012246386312985134,381.0,129.0,0.0013018915788905348,0.0012945155190252603,0.001306408614269333,1550.0,550.0,0.00010085965648072548,0.00010085965648072548,0.00010227239248147145,1512.0,540.0,0.00012745689058640445,0.00012745689058640445,0.00012870306347043673
10,445.0,149.0,0.0009087803578444399,0.000907286422415234,0.0009104185168938549,446.0,150.0,0.0009046198733901679,0.0009026518958431105,0.0009060615976573366,435.0,147.0,0.0009621159210556495,0.0009589302420046611,0.0009635472010340507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
