row,svkMatvecs,svkSubspaceSize,svkMedian,svkTop,svkBot,b=2Matvecs,b=2SubspaceSize,b=2Median,b=2Top,b=2Bot,b=3Matvecs,b=3SubspaceSize,b=3Median,b=3Top,b=3Bot,b=50Matvecs,b=50SubspaceSize,b=50Median,b=50Top,b=50Bot,b=54Matvecs,b=54SubspaceSize,b=54Median,b=54Top,b=54Bot
1,148.0,50.0,0.09974421222432198,0.09959200506393187,0.09986074872238952,152.0,52.0,0.09471806577052788,0.0946608943532371,0.09484178361685609,147.0,51.0,0.09808917196092781,0.09776304308516737,0.09823420931529381,200.0,100.0,0.047886942049334455,0.04779573133411166,0.0483769010197657,216.0,108.0,0.04477931272518862,0.04461677908302238,0.045060535778676046
2,169.0,57.0,0.08442792212033359,0.08435164710432323,0.08451912269773285,170.0,58.0,0.08102012572698068,0.08090613828320797,0.08105326659287775,165.0,57.0,0.0843918719346481,0.08425899325668919,0.08457848042847985,350.0,150.0,0.018690395433536205,0.0183335760440703,0.018952640459040118,378.0,162.0,0.016590135852360473,0.0163453270956181,0.016753724435571805
3,190.0,64.0,0.07089367335475913,0.07085107092827996,0.07090886438070101,188.0,64.0,0.06860745633741297,0.0685326610903367,0.06870205837545132,183.0,63.0,0.07142894663321918,0.07125996334187903,0.07152425565937146,500.0,200.0,0.007201106272084613,0.007050881237826679,0.007259488586379884,540.0,216.0,0.005601792947953437,0.005544665438670948,0.005767682924454318
4,214.0,72.0,0.05823924267007008,0.05818221127115579,0.05839337149529126,212.0,72.0,0.05405903865078136,0.05390218161720545,0.054256666157461525,210.0,72.0,0.055070548579341204,0.05499044762051711,0.055218147578447674,650.0,250.0,0.0021334170087860312,0.0021010077231889378,0.0021988645562923616,702.0,270.0,0.0014003570971889954,0.0013357576128240937,0.0014609685190838807
5,244.0,82.0,0.04625778656600959,0.04623016857252368,0.0462911462573847,242.0,82.0,0.04035523355563364,0.04024468085807303,0.040519083020527556,237.0,81.0,0.042373277696056144,0.04231828678504347,0.0424644607073343,800.0,300.0,0.0003632518461479974,0.00033849050314435836,0.00040205178162227103,864.0,324.0,0.00017169440793684182,0.00015434136259287343,0.00018367145922258747
6,274.0,92.0,0.03615723460016844,0.03612142484277051,0.03617689542652439,272.0,92.0,0.029705916747352998,0.029479047553248445,0.029825622286675173,264.0,90.0,0.03238410297625553,0.032301041761881366,0.03248678303741022,950.0,350.0,1.80536066989408e-5,1.6269609014759545e-5,2.1602823301691014e-5,1026.0,378.0,2.516377101424111e-6,2.4612026571867636e-6,2.7905319433217e-6
7,310.0,104.0,0.027860872740245193,0.027793600993915965,0.02792441576739925,308.0,104.0,0.020209087759142357,0.020170032708022468,0.020350397158686563,300.0,102.0,0.022151798114391778,0.021819695923121128,0.022299943130892882,1100.0,400.0,1.0065306684223821e-7,8.766882497289104e-8,1.1338955610603508e-7,1188.0,432.0,8.280455782212469e-9,7.342560261019668e-9,9.028475652940717e-9
8,349.0,117.0,0.020461114655070882,0.020397835753414577,0.02049240461275461,350.0,118.0,0.012462146731283263,0.012333672023185374,0.012579137431505957,336.0,114.0,0.014972761803093341,0.01491209057962847,0.015053135887301589,1250.0,450.0,1.9988959581775988e-10,1.6313239025799565e-10,2.405820113522469e-10,1350.0,486.0,8.017126145072597e-12,6.041854692942817e-12,1.0090610000892088e-11
9,394.0,132.0,0.015109495187647787,0.015079133745391278,0.015168309233202684,392.0,132.0,0.00753258490417375,0.007453274149386071,0.007824094298821105,381.0,129.0,0.008903457467730583,0.008790514251209221,0.009013046747780348,1550.0,550.0,1.0e-15,1.0e-15,1.0e-15,1512.0,540.0,1.996002661592227e-15,1.996002661592227e-15,2.1774574490097024e-15
10,445.0,149.0,0.010322841546225562,0.010118507639516126,0.01039473528403065,446.0,150.0,0.0035013206274094036,0.0034573666484590346,0.0036533640668630174,435.0,147.0,0.004323915236613306,0.004240987515419004,0.0043917790261987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
