row,svkMatvecs,svkSubspaceSize,svkMedian,svkTop,svkBot,b=2Matvecs,b=2SubspaceSize,b=2Median,b=2Top,b=2Bot,b=3Matvecs,b=3SubspaceSize,b=3Median,b=3Top,b=3Bot,b=50Matvecs,b=50SubspaceSize,b=50Median,b=50Top,b=50Bot,b=54Matvecs,b=54SubspaceSize,b=54Median,b=54Top,b=54Bot
1,148.0,50.0,0.025454467074996184,0.025453568911055716,0.025458628142220267,152.0,52.0,0.024425076988509715,0.024415872835079247,0.024444045036766594,147.0,51.0,0.0249143418219141,0.024890083387651418,0.024928054671102536,200.0,100.0,0.007353503521128672,0.007321842772663429,0.007365155427923644,216.0,108.0,0.007080757661559311,0.007057706916520605,0.007104886871064827
2,169.0,57.0,0.022005667147481464,0.021999275446192987,0.022009200288769015,170.0,58.0,0.021506820527400425,0.021497269472818804,0.021535898472847283,165.0,57.0,0.021969455772071704,0.021958235266110165,0.021985892817787116,350.0,150.0,0.0034229365164114497,0.003414133741035115,0.00345726235589515,378.0,162.0,0.0032642694944472585,0.003241166936609045,0.0032731917881484328
3,190.0,64.0,0.018902787109790584,0.018891868304320082,0.01891104218848689,188.0,64.0,0.018889002275683693,0.018883482884260016,0.018897409270541617,183.0,63.0,0.019299633919664827,0.01929034237411283,0.019305823113855217,500.0,200.0,0.001965587767612539,0.0019599465653729418,0.001977878910813664,540.0,216.0,0.0018653796786552942,0.0018540265961321026,0.0018675329367541771
4,214.0,72.0,0.015931354816872315,0.015926809075719417,0.01593435522097023,212.0,72.0,0.015916173271267972,0.015911973552183534,0.015921828750193243,210.0,72.0,0.015908657403656795,0.01590183903351606,0.015926155903256023,650.0,250.0,0.0012676895684816188,0.0012575010136608663,0.0012866886266417357,702.0,270.0,0.0011872894671708322,0.0011748553181982545,0.0011949415113312542
5,244.0,82.0,0.012974904446218774,0.01297165524358683,0.012979378050682423,242.0,82.0,0.012980808661921903,0.012971371788554857,0.012990694263148098,237.0,81.0,0.013223881106408914,0.013214949562257446,0.013227688095013304,800.0,300.0,0.0008807062356831576,0.0008782976408406387,0.0008973357979423671,864.0,324.0,0.0008137138802894643,0.0008092764969209864,0.0008252884359332012
6,274.0,92.0,0.010713009304295914,0.010703802144104893,0.010722763790933875,272.0,92.0,0.010695234245786837,0.01068887257983798,0.010701783689072455,264.0,90.0,0.011111039301129399,0.011103022483157799,0.011122153881409696,950.0,350.0,0.0006421343531516393,0.0006353411248465131,0.0006471175452453494,1026.0,378.0,0.0005860000740363803,0.0005808384562468276,0.0005891763236587031
7,310.0,104.0,0.008641839721642564,0.008637507217512755,0.00865072521317275,308.0,104.0,0.00863296097446976,0.008628433942293443,0.008644534438382619,300.0,102.0,0.008947101482434975,0.008936906444411901,0.008952230139667674,1100.0,400.0,0.00048447782904621187,0.00048359219238757937,0.00048590955070146487,1188.0,432.0,0.0004385201470000287,0.0004359744401701105,0.00044142272817822997
8,349.0,117.0,0.00698307088293444,0.006979251701384097,0.006985914100971959,350.0,118.0,0.0068730027341401805,0.006859299857000671,0.006881546826731312,336.0,114.0,0.007310926171379342,0.007308677677795381,0.007322706774619078,1250.0,450.0,0.000369009093202246,0.00036763792866070604,0.00037583197485206493,1350.0,486.0,0.0003317721189154257,0.0003288783627732373,0.0003393716012509583
9,394.0,132.0,0.0055849504845464455,0.005579204156752706,0.005586602137739204,392.0,132.0,0.005580541544902064,0.005573026601162856,0.005583560841266196,381.0,129.0,0.005822849584584552,0.005816701845138029,0.005825000718406248,1550.0,550.0,0.00023806081128882579,0.00023806081128882579,0.00024188851796261418,1512.0,540.0,0.000259435795339401,0.000259435795339401,0.0002610501374270603
10,445.0,149.0,0.004432295918047216,0.004428002588853545,0.0044366653775053545,446.0,150.0,0.004370337987378891,0.0043678278272227455,0.004379063145163731,435.0,147.0,0.0045525381922999686,0.00454989018160658,0.004554547679257786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,502.0,168.0,0.003513296634540275,0.0035091679303300505,0.003515614261420794,500.0,168.0,0.003512958319951352,0.0035094739111492905,0.0035139048600139325,489.0,165.0,0.0036428656706484577,0.003637549473408215,0.0036460657871295633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,568.0,190.0,0.0027544839224493494,0.0027532441047985294,0.0027566257940234594,566.0,190.0,0.0027535152603512547,0.00275040095021591,0.002756921099146951,552.0,186.0,0.002872159603414576,0.0028693288279067145,0.0028762058226721567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,643.0,215.0,0.0021491248417949485,0.0021481394343853422,0.00215207924203453,644.0,216.0,0.002129529526008427,0.0021247389494479527,0.0021328860239641177,633.0,213.0,0.002190646746679287,0.0021889039304346905,0.002194843554421009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,724.0,242.0,0.0016877307161244383,0.0016869857391547415,0.0016901130051856091,722.0,242.0,0.001684468853632669,0.001683643732730185,0.0016885806627768586,714.0,240.0,0.0017178787785893824,0.0017152831945974392,0.001722188626324827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,817.0,273.0,0.0013139627112682965,0.0013110658987198183,0.0013150300446067174,818.0,274.0,0.0013031272826785462,0.0013013075599157585,0.00130383316333276,804.0,270.0,0.0013482611374500582,0.0013447803958471548,0.001348832691863136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,922.0,308.0,0.0010180667067985908,0.0010165612840154924,0.001019054136757216,920.0,308.0,0.0010162312267841204,0.0010139599079123747,0.0010177111739041273,912.0,306.0,0.0010304051165409014,0.0010284963525336677,0.0010333310573115366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1042.0,348.0,0.000780705302676263,0.0007797717277020699,0.0007812872297827296,1040.0,348.0,0.0007801570749217452,0.000777828873420672,0.000780949827215904,1029.0,345.0,0.0007962155588746539,0.0007944804320074339,0.0007978174990007572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
