row,svk_lanczosMatvecs,svk_lanczosSubspaceSize,svk_lanczosMedian,svk_lanczosTop,svk_lanczosBot,b2_lanczosMatvecs,b2_lanczosSubspaceSize,b2_lanczosMedian,b2_lanczosTop,b2_lanczosBot,bk_lanczosMatvecs,bk_lanczosSubspaceSize,bk_lanczosMedian,bk_lanczosTop,bk_lanczosBot,bk+4_lanczosMatvecs,bk+4_lanczosSubspaceSize,bk+4_lanczosMedian,bk+4_lanczosTop,bk+4_lanczosBot,svk_orthoMatvecs,svk_orthoSubspaceSize,svk_orthoMedian,svk_orthoTop,svk_orthoBot,b2_orthoMatvecs,b2_orthoSubspaceSize,b2_orthoMedian,b2_orthoTop,b2_orthoBot,bk_orthoMatvecs,bk_orthoSubspaceSize,bk_orthoMedian,bk_orthoTop,bk_orthoBot,bk+4_orthoMatvecs,bk+4_orthoSubspaceSize,bk+4_orthoMedian,bk+4_orthoTop,bk+4_orthoBot
1,148.0,50.0,3.4174633089895714,3.2828369552630634,3.6283238692247095,152.0,52.0,1.4027612062691706,1.3389139327354234,1.4768170522949156,200.0,100.0,0.26900595416672324,0.2246318898103961,0.2951811631454061,216.0,108.0,0.07256486939520798,0.05900458854188153,0.09438496604820873,148.0,50.0,0.5246749366758957,0.4961249086567556,0.5495336739284765,152.0,52.0,0.37477077825916,0.3510488458156856,0.40543875467629464,200.0,100.0,0.2735111299844638,0.2356979490015647,0.3078870433706057,216.0,108.0,0.07823550716034933,0.06378802348483592,0.09112170899879315
2,169.0,57.0,2.5623120719678023,2.5099154162198904,2.638324902048959,170.0,58.0,0.8019008884085979,0.7620832596703491,0.8552888142612727,350.0,150.0,5.874941873840898e-10,3.911024198629941e-10,9.836022854885735e-10,378.0,162.0,7.888838282114468e-12,4.733226616641446e-12,1.1101035727993455e-11,169.0,57.0,0.005505522979273153,0.0014422434500169037,0.014846552088146756,170.0,58.0,0.01326512669312704,0.006046572850367055,0.024554752883512353,350.0,150.0,6.034534983648843e-10,4.230472986447263e-10,1.0221896731671967e-9,378.0,162.0,6.81845928454015e-12,4.257252822087217e-12,1.1274653118699316e-11
3,190.0,64.0,1.9533480277495436,1.9063683043696467,2.0203994522070396,188.0,64.0,0.4834606492339244,0.4328975843306611,0.527715783065063,500.0,200.0,2.0360700595849747e-15,1.86639755461956e-15,2.714760079446633e-15,540.0,216.0,1.9512338071022674e-15,1.9512338071022674e-15,2.714760079446633e-15,190.0,64.0,5.93853767378951e-14,1.6967250496541456e-14,3.3438208916059076e-13,188.0,64.0,2.9847915092578213e-7,6.731264168540786e-8,1.4472881255451088e-6,500.0,200.0,2.2057425645503893e-15,1.86639755461956e-15,2.9268507106534014e-15,540.0,216.0,1.86639755461956e-15,1.86639755461956e-15,2.714760079446633e-15
4,214.0,72.0,1.4550841627463031,1.4068179071865479,1.5199496741544167,212.0,72.0,0.17119981083266203,0.14992855576337358,0.1968764872905664,650.0,250.0,1.9512338071022674e-15,1.86639755461956e-15,2.8844325844120475e-15,702.0,270.0,2.0360700595849747e-15,1.9512338071022674e-15,2.8844325844120475e-15,214.0,72.0,2.375415069515804e-15,1.6967250496541456e-15,3.6055407305150596e-15,212.0,72.0,2.5450875744812184e-15,1.6967250496541456e-15,4.581157634066193e-15,650.0,250.0,2.0360700595849747e-15,1.86639755461956e-15,2.8844325844120475e-15,702.0,270.0,2.2905788170330966e-15,1.86639755461956e-15,2.8844325844120475e-15
5,244.0,82.0,1.0065856201325447,0.9731590889666417,1.0492774230028574,242.0,82.0,0.03742449437455002,0.02578073402413085,0.053660261041797025,800.0,300.0,2.375415069515804e-15,1.86639755461956e-15,3.054105089377462e-15,864.0,324.0,2.120906312067682e-15,1.9512338071022674e-15,2.8844325844120475e-15,244.0,82.0,2.2905788170330966e-15,1.6967250496541456e-15,2.8844325844120475e-15,242.0,82.0,2.2057425645503893e-15,1.6967250496541456e-15,3.2237775943428766e-15,800.0,300.0,2.2057425645503893e-15,1.86639755461956e-15,2.8844325844120475e-15,864.0,324.0,1.9512338071022674e-15,1.86639755461956e-15,2.8844325844120475e-15
6,274.0,92.0,0.6685590731087254,0.6402780489564486,0.713737437593229,272.0,92.0,0.003242828114568652,0.0012482772646551427,0.009637080831270427,950.0,350.0,1.86639755461956e-15,1.86639755461956e-15,2.8844325844120475e-15,1026.0,378.0,2.0360700595849747e-15,1.9512338071022674e-15,2.714760079446633e-15,274.0,92.0,1.86639755461956e-15,1.6967250496541456e-15,2.5450875744812184e-15,272.0,92.0,1.6967250496541456e-15,1.6967250496541456e-15,2.375415069515804e-15,950.0,350.0,2.0360700595849747e-15,1.86639755461956e-15,2.714760079446633e-15,1026.0,378.0,1.86639755461956e-15,1.86639755461956e-15,2.5875057007225722e-15
7,310.0,104.0,0.38666458373525114,0.3649421068382471,0.4275480303643722,308.0,104.0,6.005876077521553e-5,1.8443489600037585e-5,0.00020063596574328082,1100.0,400.0,2.0360700595849747e-15,1.86639755461956e-15,2.8844325844120475e-15,1188.0,432.0,2.2057425645503893e-15,1.9512338071022674e-15,3.054105089377462e-15,310.0,104.0,1.781561302136853e-15,1.6967250496541456e-15,2.375415069515804e-15,308.0,104.0,1.86639755461956e-15,1.6967250496541456e-15,2.375415069515804e-15,1100.0,400.0,2.0360700595849747e-15,1.86639755461956e-15,2.8844325844120475e-15,1188.0,432.0,2.120906312067682e-15,1.86639755461956e-15,2.8844325844120475e-15
8,349.0,117.0,0.20988663989870926,0.17312887117183484,0.24599600580810527,350.0,118.0,3.2308184662854634e-7,9.754798374356288e-8,1.488696632725007e-6,1250.0,450.0,2.120906312067682e-15,1.86639755461956e-15,2.714760079446633e-15,1350.0,486.0,2.0360700595849747e-15,1.9512338071022674e-15,2.8844325844120475e-15,349.0,117.0,2.2057425645503893e-15,1.6967250496541456e-15,2.714760079446633e-15,350.0,118.0,1.86639755461956e-15,1.6967250496541456e-15,2.375415069515804e-15,1250.0,450.0,1.86639755461956e-15,1.86639755461956e-15,2.714760079446633e-15,1350.0,486.0,2.2057425645503893e-15,1.86639755461956e-15,2.7571782056879868e-15
9,394.0,132.0,0.07243602905175246,0.04849424914905104,0.10253452187570893,392.0,132.0,6.575460261466357e-10,2.6993402421953763e-10,1.7132165808648902e-9,1550.0,550.0,2.2905788170330966e-15,1.86639755461956e-15,2.8844325844120475e-15,1512.0,540.0,2.375415069515804e-15,1.9512338071022674e-15,3.054105089377462e-15,394.0,132.0,2.0360700595849747e-15,1.6967250496541456e-15,2.5450875744812184e-15,392.0,132.0,1.6967250496541456e-15,1.6967250496541456e-15,2.375415069515804e-15,1550.0,550.0,2.0360700595849747e-15,1.86639755461956e-15,2.714760079446633e-15,1512.0,540.0,2.2057425645503893e-15,1.86639755461956e-15,3.054105089377462e-15
10,445.0,149.0,0.019710898233286714,0.012358185209484297,0.03277982898595199,446.0,150.0,1.4031916160639785e-13,3.1007650282429514e-14,7.554244102322669e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.0,149.0,1.86639755461956e-15,1.6967250496541456e-15,2.5875057007225722e-15,446.0,150.0,1.9512338071022674e-15,1.6967250496541456e-15,2.714760079446633e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
